level,method_pair,breakdown,group,n,agreement_rate,cohens_kappa,spearman_rho,spearman_p,TP,FP,FN,TN
utterance,hurtlex_vs_judge,scenario,coworker,58,0.8793,0.1646,-0.1211,0.365263,50,5,2,1
utterance,hurtlex_vs_judge,scenario,marriage,58,0.9138,-0.0432,0.3103,0.017751,53,2,3,0
utterance,hurtlex_vs_judge,scenario,neighbor,62,0.8871,0.3067,0.1991,0.120848,53,2,5,2
utterance,hurtlex_vs_judge,scenario,renting,60,0.9167,-0.0274,-0.1301,0.321633,55,4,1,0
sentence,hurtlex_vs_judge,overall,all,1512,0.4557,0.0443,0.05,0.051988,546,758,65,143
sentence,hurtlex_vs_judge,model,gemma3,782,0.4246,0.0535,0.1511,2.2e-05,234,419,31,98
sentence,hurtlex_vs_judge,model,llama3.1,224,0.558,0.0146,-0.0859,0.200223,106,74,25,19
sentence,hurtlex_vs_judge,model,mistral,506,0.4585,0.0411,0.0004,0.992343,206,265,9,26
sentence,hurtlex_vs_judge,nationality,American,764,0.4555,-0.0024,-0.0523,0.14837,288,368,48,60
sentence,hurtlex_vs_judge,nationality,North Korean,748,0.4559,0.0885,0.1646,6e-06,258,390,17,83
sentence,hurtlex_vs_judge,disability_type,remitted,713,0.4572,0.0473,0.0404,0.281335,263,360,27,63
sentence,hurtlex_vs_judge,disability_type,symptomatic,799,0.4543,0.0414,0.0579,0.101826,283,398,38,80
sentence,hurtlex_vs_judge,scenario,childcare,230,0.4391,0.0843,0.0607,0.359163,83,128,1,18
sentence,hurtlex_vs_judge,scenario,coworker,285,0.4596,0.0836,0.0707,0.234063,101,147,7,30
sentence,hurtlex_vs_judge,scenario,marriage,347,0.5331,0.0943,0.1511,0.004778,143,140,22,42
sentence,hurtlex_vs_judge,scenario,neighbor,313,0.476,0.0396,0.05,0.378116,122,149,15,27
sentence,hurtlex_vs_judge,scenario,renting,337,0.365,-0.0391,-0.0287,0.599675,97,194,20,26
